rgh		X11g		X12g		Y11g		Y12g		Y11h		Y12h		
2.10000000e+00	2.02675700e+00	-2.01782500e+00	4.13886800e-02	-3.20663998e-02	-1.93897170e-02	7.95613997e-02
2.11000000e+00	1.79415700e+00	-1.78525500e+00	3.75377800e-02	-2.84543998e-02	-1.93518170e-02	7.23663997e-02
2.12000000e+00	1.60105700e+00	-1.59219500e+00	3.42245800e-02	-2.53723998e-02	-1.91942170e-02	6.60993997e-02
2.13000000e+00	1.43840700e+00	-1.42959500e+00	3.13491800e-02	-2.27203998e-02	-1.89486170e-02	6.05963997e-02
2.14000000e+00	1.29974700e+00	-1.29095500e+00	2.88322800e-02	-2.04252998e-02	-1.86386170e-02	5.57303997e-02
2.15000000e+00	1.18030700e+00	-1.17156500e+00	2.66164800e-02	-1.84231998e-02	-1.82817170e-02	5.14003997e-02
2.16000000e+00	1.07649700e+00	-1.06780500e+00	2.46530800e-02	-1.66682998e-02	-1.78912170e-02	4.75263997e-02
2.17000000e+00	9.85595000e-01	-9.76940000e-01	2.29039800e-02	-1.51228998e-02	-1.74775170e-02	4.40443997e-02
2.18000000e+00	9.05431000e-01	-8.96828000e-01	2.13386800e-02	-1.37559998e-02	-1.70483170e-02	4.09023997e-02
2.19000000e+00	8.34337000e-01	-8.25778000e-01	1.99318800e-02	-1.25411998e-02	-1.66097170e-02	3.80543997e-02
2.20000000e+00	7.70931000e-01	-7.62428000e-01	1.86613800e-02	-1.14591998e-02	-1.61666170e-02	3.54663997e-02
2.25000000e+00	5.36914000e-01	-5.28699000e-01	1.38389800e-02	-7.50679980e-03	-1.39867170e-02	2.54763997e-02
2.30000000e+00	3.89924000e-01	-3.82021000e-01	1.06807800e-02	-5.11039980e-03	-1.20005170e-02	1.88113997e-02
2.35000000e+00	2.91795000e-01	-2.84233000e-01	8.49198000e-03	-3.58899980e-03	-1.02675170e-02	1.41783997e-02
2.40000000e+00	2.23413000e-01	-2.16214000e-01	6.90678000e-03	-2.58849980e-03	-8.78215700e-03	1.08573997e-02
2.45000000e+00	1.74196000e-01	-1.67376000e-01	5.71738000e-03	-1.91129980e-03	-7.51826700e-03	8.42039970e-03
2.50000000e+00	1.37866000e-01	-1.31428000e-01	4.79848000e-03	-1.44179980e-03	-6.44545700e-03	6.60139970e-03
2.55000000e+00	1.10486000e-01	-1.04435000e-01	4.07128000e-03	-1.10879980e-03	-5.53487700e-03	5.22039970e-03
