r2b		X11M+X12M	Y11M+Y12M	Z11M+Z12M
2.10000000e+00	2.75887000e+00	8.07955110e-02	8.64000330e-03
2.11000000e+00	2.44633000e+00	7.36955110e-02	8.31444330e-03
2.12000000e+00	2.18653000e+00	6.76211110e-02	8.00222330e-03
2.13000000e+00	1.96742000e+00	6.23600110e-02	7.69444330e-03
2.14000000e+00	1.78033000e+00	5.77778110e-02	7.41000330e-03
2.15000000e+00	1.61896000e+00	5.37511110e-02	7.13111330e-03
2.16000000e+00	1.47851000e+00	5.01989110e-02	6.86555330e-03
2.17000000e+00	1.35532000e+00	4.70433110e-02	6.61666330e-03
2.18000000e+00	1.24655000e+00	4.42178110e-02	6.37222330e-03
2.19000000e+00	1.14993000e+00	4.16755110e-02	6.14222330e-03
2.20000000e+00	1.06364000e+00	3.93933110e-02	5.91889330e-03
2.25000000e+00	7.43872000e-01	3.06900110e-02	4.92555330e-03
2.30000000e+00	5.41620000e-01	2.49100110e-02	4.11889330e-03
2.35000000e+00	4.05796000e-01	2.07933110e-02	3.46000330e-03
2.40000000e+00	3.10632000e-01	1.76922110e-02	2.91666330e-03
2.45000000e+00	2.41868000e-01	1.52489110e-02	2.47444330e-03
2.50000000e+00	1.90947000e-01	1.32633110e-02	2.09777330e-03
2.55000000e+00	1.52487000e-01	1.16033110e-02	1.78000330e-03
2.60000000e+00	1.22971000e-01	1.01933110e-02	1.52000330e-03
2.65000000e+00	9.99960000e-02	8.98000100e-03	1.30555330e-03
2.70000000e+00	8.19111000e-02	7.91889100e-03	1.11333330e-03
2.75000000e+00	6.75067000e-02	6.99667100e-03	9.58893300e-04
2.80000000e+00	5.59467000e-02	6.18000100e-03	8.23333300e-04
2.85000000e+00	4.65911000e-02	5.46222100e-03	7.08889300e-04
2.90000000e+00	3.89544000e-02	4.83111100e-03	6.15555300e-04
2.95000000e+00	3.26756000e-02	4.26222100e-03	5.33333300e-04
3.00000000e+00	2.74956000e-02	3.75889100e-03	4.58889300e-04
3.05000000e+00	2.31911000e-02	3.31222100e-03	4.01111300e-04
3.10000000e+00	1.95933000e-02	2.91778100e-03	3.45555300e-04
3.15000000e+00	1.65811000e-02	2.56444100e-03	2.98889300e-04
3.20000000e+00	1.40344000e-02	2.24444100e-03	2.54444300e-04
3.25000000e+00	1.18778000e-02	1.96555100e-03	2.17777300e-04
3.30000000e+00	1.00367000e-02	1.71333100e-03	1.92222300e-04
3.35000000e+00	8.48110000e-03	1.48000100e-03	1.63333300e-04
3.40000000e+00	7.14000000e-03	1.28555100e-03	1.42222300e-04
3.45000000e+00	5.98444000e-03	1.10444100e-03	1.23333300e-04
3.50000000e+00	4.99778000e-03	9.41111000e-04	9.88893000e-05
3.55000000e+00	4.14222000e-03	7.90001000e-04	9.00003000e-05
3.60000000e+00	3.39333000e-03	6.67781000e-04	7.11113000e-05
3.65000000e+00	2.74444000e-03	5.51111000e-04	6.22223000e-05
3.70000000e+00	2.18333000e-03	4.37781000e-04	4.44444000e-05
3.75000000e+00	1.68333000e-03	3.45555000e-04	4.22222000e-05
3.80000000e+00	1.26333000e-03	2.63333000e-04	3.44444000e-05
3.85000000e+00	8.88890000e-04	1.88889000e-04	2.33333000e-05
3.90000000e+00	5.56670000e-04	1.12222000e-04	2.00000000e-05
3.95000000e+00	2.64440000e-04	5.33330000e-05	1.55555000e-05
4.00000000e+00	0.00000000e+00	0.00000000e+00	0.00000000e+00
